satellite_position_km,nadir_apparent_depth_m,offnadir_apparent_depth_m,nadir_return_time_ms,offnadir_return_time_ms,nadir_return_time_us,offnadir_return_time_us,offnadir_extra_delay_us,offnadir_vhf_phase_deg
-60.000,0.000000,2918.849592,2.695197889,2.729858883,2695.197889,2729.858883,34.660994,21.994374
-59.800,0.000000,2902.590131,2.695020285,2.729488200,2695.020285,2729.488200,34.467915,21.997361
-59.600,0.000000,2886.381709,2.694843274,2.729118715,2694.843274,2729.118715,34.275442,22.000339
-59.400,0.000000,2870.224356,2.694666855,2.728750430,2694.666855,2728.750430,34.083575,22.003308
-59.200,0.000000,2854.118105,2.694491030,2.728383345,2694.491030,2728.383345,33.892315,22.006269
-59.000,0.000000,2838.062986,2.694315797,2.728017460,2694.315797,2728.017460,33.701662,22.009220
-58.800,0.000000,2822.059029,2.694141158,2.727652776,2694.141158,2727.652776,33.511617,22.012163
-58.600,0.000000,2806.106267,2.693967112,2.727289292,2693.967112,2727.289292,33.322180,22.015097
-58.400,0.000000,2790.204730,2.693793658,2.726927010,2693.793658,2726.927010,33.133351,22.018021
-58.200,0.000000,2774.354449,2.693620798,2.726565929,2693.620798,2726.565929,32.945131,22.020937
-58.000,0.000000,2758.555454,2.693448531,2.726206051,2693.448531,2726.206051,32.757520,22.023844
-57.800,0.000000,2742.807776,2.693276857,2.725847375,2693.276857,2725.847375,32.570518,22.026742
-57.600,0.000000,2727.111446,2.693105775,2.725489901,2693.105775,2725.489901,32.384126,22.029631
-57.400,0.000000,2711.466494,2.692935287,2.725133631,2692.935287,2725.133631,32.198344,22.032511
-57.200,0.000000,2695.872951,2.692765392,2.724778564,2692.765392,2724.778564,32.013173,22.035382
-57.000,0.000000,2680.330846,2.692596089,2.724424701,2692.596089,2724.424701,31.828612,22.038244
-56.800,0.000000,2664.840210,2.692427380,2.724072042,2692.427380,2724.072042,31.644662,22.041097
-56.600,0.000000,2649.401074,2.692259264,2.723720588,2692.259264,2723.720588,31.461325,22.043941
-56.400,0.000000,2634.013466,2.692091740,2.723370339,2692.091740,2723.370339,31.278599,22.046776
-56.200,0.000000,2618.677418,2.691924810,2.723021295,2691.924810,2723.021295,31.096485,22.049602
-56.000,0.000000,2603.392958,2.691758473,2.722673456,2691.758473,2722.673456,30.914984,22.052419
-55.800,0.000000,2588.160117,2.691592728,2.722326824,2691.592728,2722.326824,30.734095,22.055227
-55.600,0.000000,2572.978924,2.691427577,2.721981398,2691.427577,2721.981398,30.553821,22.058026
-55.400,0.000000,2557.849409,2.691263019,2.721637178,2691.263019,2721.637178,30.374159,22.060816
-55.200,0.000000,2542.771602,2.691099054,2.721294166,2691.099054,2721.294166,30.195112,22.063597
-55.000,0.000000,2527.745531,2.690935681,2.720952361,2690.935681,2720.952361,30.016679,22.066368
-54.800,0.000000,2512.771227,2.690772902,2.720611763,2690.772902,2720.611763,29.838861,22.069131
-54.600,0.000000,2497.848718,2.690610716,2.720272374,2690.610716,2720.272374,29.661658,22.071884
-54.400,0.000000,2482.978033,2.690449122,2.719934193,2690.449122,2719.934193,29.485071,22.074629
-54.200,0.000000,2468.159202,2.690288122,2.719597221,2690.288122,2719.597221,29.309099,22.077364
-54.000,0.000000,2453.392254,2.690127715,2.719261458,2690.127715,2719.261458,29.133743,22.080090
-53.800,0.000000,2438.677217,2.689967901,2.718926904,2689.967901,2718.926904,28.959004,22.082807
-53.600,0.000000,2424.014120,2.689808679,2.718593561,2689.808679,2718.593561,28.784881,22.085514
-53.400,0.000000,2409.402993,2.689650051,2.718261427,2689.650051,2718.261427,28.611376,22.088213
-53.200,0.000000,2394.843862,2.689492016,2.717930504,2689.492016,2717.930504,28.438488,22.090902
-53.000,0.000000,2380.336758,2.689334574,2.717600791,2689.334574,2717.600791,28.266218,22.093582
-52.800,0.000000,2365.881709,2.689177724,2.717272290,2689.177724,2717.272290,28.094566,22.096253
-52.600,0.000000,2351.478742,2.689021468,2.716945000,2689.021468,2716.945000,27.923532,22.098915
-52.400,0.000000,2337.127886,2.688865805,2.716618922,2688.865805,2716.618922,27.753117,22.101568
-52.200,0.000000,2322.829170,2.688710735,2.716294056,2688.710735,2716.294056,27.583322,22.104211
-52.000,0.000000,2308.582621,2.688556257,2.715970403,2688.556257,2715.970403,27.414146,22.106845
-51.800,0.000000,2294.388268,2.688402373,2.715647963,2688.402373,2715.647963,27.245589,22.109470
-51.600,0.000000,2280.246137,2.688249082,2.715326735,2688.249082,2715.326735,27.077653,22.112086
-51.400,0.000000,2266.156258,2.688096384,2.715006721,2688.096384,2715.006721,26.910338,22.114692
-51.200,0.000000,2252.118658,2.687944279,2.714687921,2687.944279,2714.687921,26.743643,22.117289
-51.000,0.000000,2238.133364,2.687792766,2.714370335,2687.792766,2714.370335,26.577569,22.119877
-50.800,0.000000,2224.200403,2.687641847,2.714053964,2687.641847,2714.053964,26.412117,22.122455
-50.600,0.000000,2210.319804,2.687491521,2.713738807,2687.491521,2713.738807,26.247286,22.125024
-50.400,0.000000,2196.491594,2.687341788,2.713424866,2687.341788,2713.424866,26.083078,22.127584
-50.200,0.000000,2182.715800,2.687192647,2.713112140,2687.192647,2713.112140,25.919492,22.130135
-50.000,0.000000,2168.992449,2.687044100,2.712800629,2687.044100,2712.800629,25.756529,22.132676
-49.800,0.000000,2155.321568,2.686896146,2.712490335,2686.896146,2712.490335,25.594189,22.135208
-49.600,0.000000,2141.703184,2.686748785,2.712181257,2686.748785,2712.181257,25.432472,22.137730
-49.400,0.000000,2128.137325,2.686602017,2.711873396,2686.602017,2711.873396,25.271379,22.140243
-49.200,0.000000,2114.624016,2.686455841,2.711566752,2686.455841,2711.566752,25.110910,22.142747
-49.000,0.000000,2101.163284,2.686310259,2.711261325,2686.310259,2711.261325,24.951066,22.145242
-48.800,0.000000,2087.755157,2.686165270,2.710957116,2686.165270,2710.957116,24.791846,22.147727
-48.600,0.000000,2074.399660,2.686020874,2.710654125,2686.020874,2710.654125,24.633251,22.150202
-48.400,0.000000,2061.096821,2.685877071,2.710352352,2685.877071,2710.352352,24.475281,22.152668
-48.200,0.000000,2047.846665,2.685733860,2.710051798,2685.733860,2710.051798,24.317937,22.155125
-48.000,0.000000,2034.649218,2.685591243,2.709752462,2685.591243,2709.752462,24.161219,22.157573
-47.800,0.000000,2021.504507,2.685449219,2.709454346,2685.449219,2709.454346,24.005127,22.160011
-47.600,0.000000,2008.412558,2.685307788,2.709157450,2685.307788,2709.157450,23.849662,22.162439
-47.400,0.000000,1995.373397,2.685166950,2.708861773,2685.166950,2708.861773,23.694823,22.164858
-47.200,0.000000,1982.387049,2.685026705,2.708567316,2685.026705,2708.567316,23.540612,22.167268
-47.000,0.000000,1969.453541,2.684887052,2.708274080,2684.887052,2708.274080,23.387028,22.169668
-46.800,0.000000,1956.572898,2.684747993,2.707982065,2684.747993,2707.982065,23.234072,22.172059
-46.600,0.000000,1943.745145,2.684609527,2.707691271,2684.609527,2707.691271,23.081744,22.174440
-46.400,0.000000,1930.970308,2.684471654,2.707401698,2684.471654,2707.401698,22.930044,22.176812
-46.200,0.000000,1918.248413,2.684334374,2.707113347,2684.334374,2707.113347,22.778973,22.179174
-46.000,0.000000,1905.579484,2.684197687,2.706826218,2684.197687,2706.826218,22.628531,22.181526
-45.800,0.000000,1892.963547,2.684061592,2.706540311,2684.061592,2706.540311,22.478718,22.183870
-45.600,0.000000,1880.400627,2.683926091,2.706255626,2683.926091,2706.255626,22.329535,22.186203
-45.400,0.000000,1867.890750,2.683791183,2.705972165,2683.791183,2705.972165,22.180982,22.188527
-45.200,0.000000,1855.433939,2.683656868,2.705689927,2683.656868,2705.689927,22.033059,22.190842
-45.000,0.000000,1843.030219,2.683523146,2.705408912,2683.523146,2705.408912,21.885766,22.193147
-44.800,0.000000,1830.679616,2.683390017,2.705129121,2683.390017,2705.129121,21.739104,22.195442
-44.600,0.000000,1818.382154,2.683257481,2.704850554,2683.257481,2704.850554,21.593073,22.197728
-44.400,0.000000,1806.137858,2.683125537,2.704573211,2683.125537,2704.573211,21.447674,22.200004
-44.200,0.000000,1793.946751,2.682994187,2.704297093,2682.994187,2704.297093,21.302906,22.202271
-44.000,0.000000,1781.808859,2.682863430,2.704022200,2682.863430,2704.022200,21.158770,22.204528
-43.800,0.000000,1769.724205,2.682733266,2.703748532,2682.733266,2703.748532,21.015266,22.206776
-43.600,0.000000,1757.692813,2.682603695,2.703476089,2682.603695,2703.476089,20.872394,22.209014
-43.400,0.000000,1745.714709,2.682474717,2.703204873,2682.474717,2703.204873,20.730156,22.211242
-43.200,0.000000,1733.789914,2.682346332,2.702934882,2682.346332,2702.934882,20.588550,22.213460
-43.000,0.000000,1721.918454,2.682218540,2.702666118,2682.218540,2702.666118,20.447578,22.215669
-42.800,0.000000,1710.100352,2.682091341,2.702398580,2682.091341,2702.398580,20.307240,22.217869
